형번,피치,잇수,PCD,이 두께
RF2040R-10T,25.40,10,82.20,7.3
RF2040R-11T,25.40,11,90.16,7.3
RF2040R-12T,25.40,12,98.14,7.3
RF2040R-13T,25.40,13,106.14,7.3
RF2040R-14T,25.40,14,114.15,7.3
RF2040R-15T,25.40,15,122.17,7.3
RF2040R-16T,25.40,16,130.20,7.3
RF2050R-10T,31.75,10,102.75,8.9
RF2050R-11T,31.75,11,112.70,8.9
RF2050R-12T,31.75,12,122.67,8.9
RF2050R-13T,31.75,13,132.67,8.9
RF2050R-14T,31.75,14,142.68,8.9
RF2050R-15T,31.75,15,152.71,8.9
RF2050R-16T,31.75,16,162.75,8.9
RF2060R-10T,38.10,10,123.29,11.9
RF2060R-11T,38.10,11,135.23,11.9
RF2060R-12T,38.10,12,147.21,11.9
RF2060R-13T,38.10,13,159.20,11.9
RF2060R-14T,38.10,14,171.22,11.9
RF2060R-15T,38.10,15,183.25,11.9
RF2060R-16T,38.10,16,195.29,11.9
RF2080R-10T,50.80,10,164.29,15
RF2080R-11T,50.80,11,180.31,15
RF2080R-12T,50.80,12,195.28,15
RF2080R-13T,50.80,13,212.27,15
RF2080R-14T,50.80,14,228.29,15
RF2080R-15T,50.80,15,244.33,15
RF2080R-16T,16,16,260.39,15
